País,Año,N° de ley,Tipo,Extracto,Link,Fecha de sanción,¿Modifica otra ley?,¿Cuál?,¿Sigue vigente?,Fecha de derogación o modificación,¿Criminaliza la expresión?,¿Elimina criminalización?,¿Impone una sanción civil?,¿Elimina una sanción civil?,¿Impone barreras adicionales para la expresión?,¿Regula contenido en Internet?,¿Distingue la expresión online de la offline?,¿Regula intermediarios en Internet?,¿Apoyo de la sociedad civil?,¿Limita o promueve el discurso?,Objetivo legítimo,Legalidad,Necesidad,Proporcionalidad,¿Cumple con todos los elementos del test?,Objetivo legítimo (2),Objetivo legítimo (3),Análisis del test tripartito
Perú,2003,Ley No. 27942,,Prohíbe y sanciona el hostigamiento sexual producido en el marco de relaciones de autoridad o dependencia.,http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o155723.htm/mes157441.htm/dia158794.htm/sector158795.htm/sumilla158796.htm,2003-02-27,SI,,SI,13/10/2004 8/11/2009 15/01/2010 25/11/2012 9/07/2014,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Violencia de Género,,
Perú,2003,Ley No. 27975,,"Mediante esta norma fue derogado el delito de desacato, que sancionaba la amenaza o injuria contra un funcionario público.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o155723.htm/mes161945.htm/dia163191.htm/sector163192.htm/sumilla163194.htm,2003-05-29,SI,,SI,,NO,SI,NO,NO,NO,NO,NO,NO,SI,Promueve,Libertad de Expresión y Derechos políticos,,,,,Desacato,,
Perú,2003,Ley No. 28094,,"Ley de organizaciones políticas, que contempla un artículo que declara la ilegalidad de una agrupación política en caso sus actividades fueran “contrarias a los principios democráticos”, en particular, cuando prestaran apoyo político a la práctica del terrorismo o contribuyeran a “multiplicar los efectos de la violencia, el miedo y la intimidación que el terrorismo genera”.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o155723.htm/mes170900.htm/dia170901.htm/sector170902.htm/sumilla170903.htm,2003-11-01,SI,,SI,20/07/2005 29/10/2005 18/11/2005 18/04/2006 26/07/2006 28/09/2007 5/07/2009 25/12/2009 19/05/2015 17/01/2016,NO,NO,SI,NO,SI,NO,NO,NO,SI,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad electoral,,
Perú,2003,Ley No. 28119,,"Esta ley prohíbe el acceso de menores de edad a páginas web de contenido pornográfico, y establece obligaciones de control y filtrado a los proveedores de cabinas públicas de internet.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o155723.htm/mes172598.htm/dia173142.htm/sector173143.htm/sumilla173146.htm,2003-12-13,SI,,SI,39417,NO,NO,SI,NO,SI,SI,SI,NO,SI,Limita,Derechos de los niños,SI,SI,NO,NO,,,
Argentina,2002,25610,,Reforma al Código Electoral Nacional (artículos 9 y 10 - Modificación artículos 128 bis y 128 ter).,http://servicios.infoleg.gob.ar/infolegInternet/anexos/75000-79999/75736/norma.htm,2002-06-19,SI,,SI,,NO,NO,SI,NO,SI,NO,NO,NO,,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad electoral,,
Argentina,2002,25690,,Establécese que las empresas ISP (Internet Service Provider) tendrán la obligación de ofrecer software de protección que impida al acceso a sitios específicos.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/80000-84999/81031/norma.htm,2002-11-28,NO,,SI,,NO,NO,SI,NO,NO,SI,NO,SI,,Limita,Moderación de Contenidos y responsabilidad de intermediarios,SI,SI,SI,SI,Responsabilidad de intermediarios,,
Brasil,2002,10.436/2002,Ley,"Dispõe sobre a Língua Brasileira de Sinais - Libras, reconhecendo-a como meio legal de comunicação e expressão. O art. 2º determina que o poder público e as concessionáris de serviços públicos devem apoiar formas institucionalizadas de apoiar o uso e a difusão das Libras.",https://www.planalto.gov.br/ccivil_03/leis/2002/l10436.htm,2002-04-24,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,DESC,SI,SI,SI,SI,Discapacidad,,
Colombia,2002,733,Ley ordinaria,"DICTA MEDIDAS TENDIENTES A ERRADICAR EL SECUESTRO, EL TERRORISMO Y LA EXTORSIÓN. EL ARTÍCULO 6 MODIFICA EL CÓDIGO PENAL E INCLUYE COMO CIRCUNSTANCIA DE AGRAVACIÓN DEL DELITO DE EXTORSIÓN EL HECHO DE COMETERLO CONTRA PERIODISTA.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0733_2002.html,2002-01-29,SI,LEY 599 DE 2000,SI,,SI,NO,SI,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2002,734,Ley ordinaria,EXPIDE EL CÓDIGO DISCIPLINARIO ÚNICO. EL ARTÍCULO 35 PROHÍBE A CUALQUIER SERVIDOR PÚBLICO PROFERIR EN ACTO OFICIAL O EN PÚBLICO EXPRESIONES INJURIOSAS O CALUMNIOSAS CONTRA CUALQUIER SERVIDOR PÚBLICO O LAS PERSONAS QUE INTERVIENEN EN LOS MISMOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0734_2002.html,2002-02-05,SI,LEY 200 DE 1995,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Honor y reputación,SI,SI,SI,SI,,,
Ecuador,2002,Ley Orgánica de Transparencia y Acceso a la Información,Ley orgánica,Ley que garantiza el derecho de acceso a la información,No existe documento en línea en base de datos oficial,2002-01-01,NO,NO,,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Acceso a la información,SI,SI,SI,SI,,,
Perú,2002,Ley No. 27806,,"Ley de transparencia y acceso a la información pública, constituye el marco general que guía la actuación de las entidades de la Administración Pública con relación a la información pública a la que tienen derecho a acceder todos los ciudadanos como regla general, el procedimiento de acceso a dicha información, la determinación de aquella información que puede ser reservada y el proceso para su declaración como tal.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o136306.htm/mes147287.htm/dia147389.htm/sector147390.htm/sumilla147391.htm,2002-08-03,SI,,SI,37339,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,Acceso a la información,SI,SI,SI,SI,,,
Perú,2002,Ley No. 27818,,"Se establece que el Ministerio de Educación debía actuar para eliminar en los centros educativos “la discriminación, los prejuicios y los adjetivos que denigren a las personas integrantes de los pueblos indígenas”.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o136306.htm/mes147287.htm/dia148113.htm/sector148114.htm/sumilla148115.htm,2002-08-16,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,,
Perú,2002,Ley No. 27840,,"Tiene por objeto regular la institución del asilo, territorial o diplomático. Asimismo, en su artículo 6, se reguló los supuestos en los cuales no procedía otorgar asilo, incluyéndose a los inculpados, procesados o condenados ante jueces ordinarios por el delito de terrorismo",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o136306.htm/mes150660.htm/dia151190.htm/sector151191.htm/sumilla151192.htm,2002-10-12,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,Seguridad Nacional,,,,,,,
Perú,2002,Ley No. 27927,,"Modifica la Ley 27806, de transparencia y acceso a la información pública, y establece nuevas excepciones al derecho de acceso a la información pública, distinguiendo entre información secreta , información reservada e información confidencial; e impone la obligación de no divulgar esta información a los funcionarios públicos que lo tengan en su poder",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o155723.htm/mes157441.htm/dia157596.htm/sector157597.htm/sumilla157600.htm,2003-02-04,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Argentina,2001,25446,,Ley de Fomento del Libro y la Lectura,http://servicios.infoleg.gob.ar/infolegInternet/anexos/140000-144999/141790/norma.htm,2001-06-27,NO,,SI,,NO,NO,SI,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Argentina,2001,25520,,"Tiene por finalidad establecer las bases jurídicas, orgánicas y funcionales del Sistema de inteligencia de la Nación.",http://servicios.infoleg.gob.ar/infolegInternet/anexos/70000-74999/70496/norma.htm,2001-11-27,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Seguridad nacional,NO,SI,NO,NO,,,
Brasil,2001,10.224/2001,Ley,Altera o Código Penal (DECRETO-LEI Nº 2.848) para dispor sobre o crime de assédio sexual,https://www.planalto.gov.br/ccivil_03/leis/leis_2001/l10224.htm,2001-05-15,SI,Código Penal (DECRETO-LEI Nº 2.848),SI,,SI,NO,NO,NO,SI,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Violencia de género,,
Chile,2001,Ley Nº 19.733,Mensaje,"Esta ley consagra la libertad de emitir opinión y la de informar, sin censura previa, constituyen un derecho fundamental de todas las personas. Su ejercicio incluye no ser perseguido ni discriminado a causa de las propias opiniones, buscar y recibir informaciones, y difundirlas por cualquier medio.",https://www.leychile.cl/Navegar?idNorma=186049&buscar=ley+de+Prensa,2001-05-18,SI,Nº19.733,SI,2009-10-11,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,,El debate actual tiene que ver con reformar o modificar esta ley en relación al funciomamiento de medios digitales. También se indica la falencia de no contar con una ley integral de medios de comunicación o una ley de comunicaciones.
Chile,2001,Ley Nº 19.742,Mensaje,Reforma constitucional que elimina la censura cinematografica sustituyendola por un Sistema de calificacion y que consagra el derecho a la libre creación artística.,https://www.leychile.cl/Navegar?idNorma=188827&buscar=libertad+de+expresion&r=2,2001-08-08,SI,Constitución Política de Chile,SI,,NO,SI,NO,SI,NO,NO,NO,NO,SI,Promueve,DESC,SI,SI,SI,SI,Promoción de la cultura,,
Colombia,2001,679,Ley ordinaria,"EXPIDE UN ESTATUTO PARA PREVENIR Y CONTRARRESTAR LA PORNOGRAFÍA Y TURISMO SEXUAL INFANTIL Y OTROS DELITOS CONTRA MENORES DE EDAD. ESTABLECE PARA LOS PROVEEDORES O SERVIDORES, ADMINISTRADORES Y USUARIOS DE REDES GLOBALES DE INFORMACIÓN LA PROHIBICIÓN DE ALOJAR CONTENIDO DE PORNOGRAFÍA INFANTIL O LINKS A SITIOS QUE CONTENGAN O DISTRIBUYAN TAL MATERIAL. ADEMÁS, ESTOS TIENEN EL DEBER DE COMBATIR CON TODOS LOS MEDIOS TÉCNICOS A SU ALCANCE LA DIFUSIÓN DE ESTE TIPO DE MATERIAL.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0679_2001.html,2001-08-03,NO,,SI,,NO,NO,NO,NO,SI,SI,SI,SI,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2001,679,Ley ordinaria,EXPIDE UN ESTATUTO PARA PREVENIR Y CONTRARRESTAR LA PORNOGRAFÍA Y TURISMO SEXUAL INFANTIL Y OTROS DELITOS CONTRA MENORES DE EDAD. EL ARTÍCULO 16 PROHÍBE A LOS PRESTADORS DE SERVICIOS TURÍSTICOS PROMOCIONAR PLANES DE EXPLOTACIÓN SEXUAL DE MENORES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0679_2001.html,2001-08-03,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2001,679,Ley ordinaria,EXPIDE UN ESTATUTO PARA PREVENIR Y CONTRARRESTAR LA PORNOGRAFÍA Y TURISMO SEXUAL INFANTIL Y OTROS DELITOS CONTRA MENORES DE EDAD. EL ARTÍCULO 34 ESTABLECE EL DELITO DE UTILIZACIÓN Y FACILITACIÓN DE MEDIOS DE COMUNICACIÓN PARA OFRECER SERVICIOS SEXUAL DE MENORES.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0679_2001.html,2001-08-03,SI,LEY 599 DE 2000,SI,,SI,NO,NO,NO,NO,SI,NO,NO,,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Colombia,2001,680,Ley ordinaria,"DICTA NORMAS EN MATERIA DE TELEVISIÓN. EL ARTÍCULO 2 PERMITE LAS FUSIONES Y FORMACIÓN DE CONSORCIOS ENTRE CONCESIONARIOS DE ESPACIOS DE LOS CANALES DE OPERACIÓN PÚBLICA, SIN EMBARGO, EN EL LITERAL C DEL PARÁGRAFO UNO LES PROHÍBE TENER MÁS DE UN INFORMATIVO NOTICIERO DIARIO.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0680_2001.html,2001-08-08,NO,,NO,09/06/15,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Libertad de Expresión y Derechos políticos,SI,NO,NO,NO,Libertad de expresión,,"AL LIMITAR LA EMISIÓN DE NOTICIEROS A ESTOS CONCESIONARIOS, LA DISPOSICIÓN NO PERSIGUE LA PROTECCIÓN DE NINGÚN OBJETIVO LEGÍTIMO EN UNA SOCIEDAD DEMOCRÁTICA. NO HAY JUSTIFICACIÓN PARA LA LIMITACIÓN LA CUAL, ADEMÁS, ES VIOLATORIA DE LA IGUALDAD."
Colombia,2001,680,Ley ordinaria,"DICTA NORMAS EN MATERIA DE TELEVISIÓN. EL ARTÍCULO 10 PROHÍBE QUE EL CONTENIDO DE LOS PROGRAMAS DE TELEVISIÓN ESTÉ COMPROMETIDO CON TERCEROS QUE RESULTEN BENEFICIADOS POR LA PUBLICACIÓN A CAMBIO DE RETRIBUCIÓN, SIN QUE TAL SITUACIÓN SEA ADVERTIDA AL PÚBLICO. PROHÍBE QUE LOS PROGRAMAS PERIODÍSTICOS Y NOTICIOSOS EMITAN PUBLIRREPORTAJES O TELEVENTAS.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0680_2001.html,2001-08-08,NO,,SI,,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Libertad de Expresión y Derechos políticos,SI,SI,SI,SI,Libertad de expresión,,
Colombia,2001,680,Ley ordinaria,DICTA NORMAS EN MATERIA DE TELEVISIÓN. EL ARTÍCULO 11 ESTABLECE QUE LOS OPERADORES DE TELEVISIÓN POR SUSCRIPCIÓN DEBEN GARANTIZAR SIN COSTO ALGUNO A SUS SUSCRIPTORES LA RECEPCIÓN DE LOS CANALES COLOMBIANOS DE TELEVISIÓN ABIERTA.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0680_2001.html,2001-08-08,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Guatemala,2001,DECRETO DEL CONGRESO NO. 72-2001,Ley ordinaria,LEY DE COLEGIACIÓN PROFESIONAL OBLIGATORIA,WWW.JURISPRUDENCIA.OJ.GOB.GT,2001-12-19,SI,"DECRETO NO. 62-91 DEL CONGRESO, ANTERIOR LEY DE COLEGIACIÓN OBLIGATORIA",SI,,NO,NO,NO,NO,SI,NO,NO,NO,NO,Limita,Libertad de Expresión y Derechos políticos,SI,NO,NO,NO,Libertad de expresión,,
Paraguay,2001,1683,Ley ordinaria,PROTOCOLO FACULTATIVO DE LA CONVENCIÓN PARA LA ELIMINACIÓN DE TODAS LAS FORMAS DE DISCRIMINACIÓN CONTRA LA MUJER.,http://www.pj.gov.py/images/contenido/secretariadegenero/marcolegal/LEY-1683.pdf,2001-03-08,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Igualdad y no discriminación,Violencia de género,
Paraguay,2001,1680,Ley ordinaria,"POR LA CUAL SE SANCIONA EL CÓDIGO DE LA NIÑEZ Y ADOLESCENCIA, REGULÁNDOSE LOS DERECHOS, DEBERES Y GARANTÍAS DE LOS MISMOS.",http://www.bacn.gov.py/leyes-paraguayas/5261/ley-n-1680--codigo-de-la-niez-y-la-adolescencia,2001-05-08,SI,DEROGA EL CÓDIGO DEL MENOR LEY 903/1981; PARCIALMENTE LA LEY 213/1993 modificada y ampliada por LEY 496/1995.,SI,2018-05-10,SI,NO,NO,NO,SI,SI,NO,NO,SI,Limita,Derechos de los niños,SI,SI,SI,SI,,,
Paraguay,2001,1969,Ley ordinaria,REGLAMENTA LA INFORMACIÓN DE CARÁCTER PRIVADO,http://www.bacn.gov.py/archivos/2539/20140919104630.pdf,2002-05-23,SI,1682/2001,SI,2002-05-23,NO,NO,SI,NO,NO,NO,NO,NO,,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos Personales,,
Perú,2001,Ley No. 27459,,"Modifica el artículo 183 del Código Penal que tipificaba el delito de exhibiciones o publicaciones obscenas, estableciendo agravantes de la pena cuando se expone a un menor de catorce años a ""objetos, libros, escritos, imágenes sonoras o auditivas que, por su carácter obsceno, pueden afectar gravemente el pudor, excitar prematuramente o pervertir su instinto sexual"" y a quien le permita el acceso a ""un cine u otro espectáculo donde se exhiban representaciones obscenas"".",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o116942.htm/mes123957.htm/dia125202.htm/sector125203.htm/sumilla125204.htm,2001-05-26,SI,,NO,38146,SI,NO,NO,NO,SI,NO,NO,NO,,Limita,Moral Pública,SI,NO,NO,NO,,,
Perú,2001,Ley No. 27480,,"Se precisó que en los delitos relacionados al art. 135 b) del Código Penal (libertad sexual) ya no eran de persecución privada, sino de persecución pública.",http://spij.minjus.gob.pe/CLP/contenidos.dll/CLPlegcargen/coleccion00000.htm/tomo00433.htm/a%C3%B1o116942.htm/mes125515.htm/dia126102.htm/sector126103.htm/sumilla126104.htm,2001-06-13,SI,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Moral Pública,,,,,,,
Argentina,2000,25326,,Ley de Protección de los Datos Personales.,http://servicios.infoleg.gob.ar/infolegInternet/anexos/60000-64999/64790/texact.htm,2000-10-04,NO,,SI,,SI,NO,SI,NO,SI,NO,NO,NO,NO,Limita,Privacidad y Derechos ARCO,SI,SI,SI,SI,Datos personales,,
Brasil,2000,10.098/2000,Ley,Estabelece normas gerais e critérios básicos para a promoção da acessibilidade das pessoas portadoras de deificiência ou com mobilidade reduzida. O art. 17 determina que o Poder Público deve eliminar barreiras para promover o acesso à informação e à comunicação das pessoas portadoras de deficiência.,https://www.planalto.gov.br/ccivil_03/leis/l10098.htm,2000-12-19,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,SI,Promueve,DESC,SI,SI,SI,SI,Discapacidad,Acceso a la información,
Brasil,2000,10.167/2000,Ley,"Altera dispositivos da Lei no 9.294, de 15 de julho de 1996, que dispõe sobre as restrições ao uso e à propaganda de produtos fumígenos, bebidas alcoólicas, medicamentos, terapias e defensivos agrícolas.",https://www.planalto.gov.br/ccivil_03/leis/l10167.htm,2000-12-27,SI,Ley nº 9.294/1996,SI,,NO,NO,SI,NO,SI,SI,NO,NO,,Limita,DESC,SI,SI,SI,SI,Salud,,
Colombia,2000,565,Ley ordinaria,APRUEBA EL TRATADO DE LA OMPI SOBRE DERECHOS DE AUTOR (WCT).,http://www.secretariasenado.gov.co/senado/basedoc/ley_0565_2000.html,2000-02-02,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Limita,Propiedad Intelectual,SI,SI,NO,NO,Derechos de autor,,"EL TRATADO BUSCA DAR PROTECCIÓN A LOS AUTORES DE OBRAS ARTÍSTICAS Y LITERARIAS. SIN EMBARGO, LA PROTECCIÓN ES DESPROPORCIONADA YA QUE: (I) LOS AUTORES TIENEN EL DERECHO EXCLUSIVO DE AUTORIZAR LA REPRODUCCIÓN DE SUS INTERPRETACIONES O EJECUCIONES, PERO EL TRATADO NO ESTABLECE LIMITACIONES Y EXCEPCIONES PROPORCIONALES. EL TRATADO ESTABLECE QUE LOS ESTADOS DEBERÁN RESTRINGIR LAS LIMITACIONES O EXCEPCIONES A CIERTOS CASOS ESPECIALES QUE NO CAUSEN PERJUICIO INJUSTIFICADO A LOS INTERESES DEL ARTISTA O PRODUCTOR. (III) EL TRATADO NO ESTABLECE EXCEPCIONES QUE PERMITAN ELUDIR EN CASOS JUSTIFICADOS LAS MEDIDAS TECNOLÓGICAS DE PROTECCIÓN."
Colombia,2000,586,Ley ordinaria,INSTITUYE EL 13 DE AGOSTO DE CADA AÑO COMO EL DÍA DE LA LIBERTAD DE EXPRESIÓN. OBLIGA AL GOBIERNO NACIONAL A REALIZAR A PROMOVER ACTIVIDADES ALUSIVAS Y REINDICATORIAS DE ESTE DERECHO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0586_2000.html,2000-06-28,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2000,594,Ley ordinaria,POR MEDIO DE LA CUAL SE DICTA LA LEY GENERAL DE ARCHIVOS. EL TÍTULO IV TIENE DISPOSICIONES EN RELACIÓN CON EL ACCESO Y CONSULTA DE DOCUMENTOS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0594_2000.html,2000-07-14,NO,,SI,,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Acceso a la información,,,,,,,
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. LOS ARTÍCULOS 43 Y 46 ESTABLECEN LA PENA DE INHABILITACIÓN PARA EL EJERCICIO DE UNA PROFESIÓN CUANDO SE HA ABUSADO DE ELLA PARA COMETER UN DELITO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,06/07/15,NO,NO,NO,NO,SI,NO,NO,NO,,Limita,Seguridad Nacional,SI,NO,NO,NO,,,"LA APLICACIÓN DE ESTA NORMA PARA INHABILITAR EL EJERCICIO DEL PERIODISMO (POR EJEMPLO, POR UN SUPUESTO ABUSO DE LA LIBERTAD DE EXPRESIÓN PARA LA COMISIÓN DE DELITOS DE INJURIAS Y CALUMNIAS) NO ES UNA MEDIDA NECESARIA NI PROPORCIONAL. VA DIRECTAMENTE EN CONTRA DE LOS ESTÁNDARES ESTABLECIDOS POR LA CORTE INTERAMERICANA EN LA OPINIÓN CONSULTIVA OC-5/85 (SOBRE LA COLEGIACIÓN OBLIGATORIA) Y POR LA CORTE CONSTITUCIONAL DE COLOMBIA EN LA SENTENCIA C-87 DE 1998 (SOBRE LA TARJETA PROFESIONAL DE PERIODISTA)."
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 102 ESTABLECE EL DELITO DE APOLOGÍA DEL GENOCIDIO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2011-11-30,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,"Discriminación, violencia y discursos de odio",SI,SI,SI,SI,Apología,,
Colombia,2000,599,Ley ordinaria,"EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 135 ESTABLECE EL DELITO DE HOMICIDIO EN PERSONA PROTEGIDA, ENTRE LOS QUE SE INCLUYEN PERIODISTAS EN MISIÓN Y CORRESPONSALES DE GUERRA. EL NUMERAL 10 DEL ARTÍCULO 104 ESTABLECE TAMBIÉN COMO AGRAVANTE DEL HOMICIDIO EL HABERSE COMETIDO CONTRA UN PERIODISTA.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2004-07-07,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 144 ESTABLECE EL DELITO DE ACTOS DE TERRORISMO. EL DELITO INCLUYE LA PROHIBICIÓN DE LA REALIZACIÓN DE AMENAZAS.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2004-07-07,SI,NO,NO,NO,NO,NO,NO,NO,,Limita,Seguridad Nacional,SI,SI,SI,SI,,,
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 170 ESTABLECE UN AGRAVANTE PARA EL DELITO DE SECUESTRO EXTORSIVO CUANDO SE COMETA CONTRA PERIODISTA EN RAZÓN DE ELLO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2010-12-29,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 179 ESTABLECE UN AGRAVANTE PARA EL DELITO DE TORTURA CUANDO SE COMETA CONTRA PERIODISTA EN RAZÓN DE ELLO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2010-12-29,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2000,599,Ley ordinaria,EXPIDE EL CÓDIGO PENAL. EL ARTÍCULO 181 ESTABLECE UN AGRAVANTE PARA EL DELITO DE DESPLAZAMIENTO FORZADO CUANDO SE COMETA CONTRA PERIODISTA EN RAZÓN DE ELLO.,http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_200ocjq (o(,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2010-12-29,NO,NO,NO,NO,NO,NO,NO,NO,,Promueve,Libertad de Expresión y Derechos políticos,,,,,Libertad de expresión,,
Colombia,2000,599,Ley ordinaria,"EXPIDE EL CÓDIGO PENAL. LOS ARTÍCULOS 192 y 196 ESTABLECEN LOS DELITOS DE VIOLACIÓN ILÍCITA DE COMUNICACIONES Y VIOLACIÓN ILÍCITA DE COMUNICACIONES OFICIALES. LOS ARTÍCULOS 193 Y 197 ESTABLECEN EL DELITO DE OFRECIMIENTO, VENTA O COMPRA DE INSTRUMENTOS PARA LA INTERCEPTACIÓN DE COMUNICACIONES Y EL DELITO DE UTILIZACIÓN ILÍCITA DE REDES DE COMUNICACIONES, RESPECTIVAMENTE.",http://www.secretariasenado.gov.co/senado/basedoc/ley_0599_2000.html,2000-07-24,SI,DECRETO-LEY 100 DE 1998,SI,2004-07-07,NO,NO,NO,NO,NO,SI,NO,NO,,Promueve,Moderación de Contenidos y responsabilidad de intermediarios,,,,,Regulación de medios,,
